,선수,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,생일
190,김현민20한2B,4,5,5,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,,,,,,0.03,2000-02-03
191,토마스08한P,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,0.01,1977-10-22
192,이브랜드13한P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,0.01,1983-10-29
193,앤서니13KP,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,0.01,1982-10-28
194,바티스타12한P,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,0.01,1980-08-23
195,헥터18KP,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,0.00,1987-01-26
196,캐세레스99두2B,62,183,168,21,42,8,2,3,63,17,2,4,10,0,0,13,4,5,0,,,,,,,0.00,1964-06-06
197,뮬렌00S3B,14,54,46,5,9,0,0,1,12,3,2,0,6,1,0,18,1,0,1,,,,,,,0.00,1967-06-23
198,오카모토10LP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1974-10-21
199,로마노07SP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1972-03-03
200,데폴라10한P,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1982-12-31
201,코르테스08롯P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1973-10-15
202,오카모토10LP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1974-10-21
203,로마노07SP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1972-03-03
204,카브레라07롯P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1972-03-24
205,험버15KP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1982-12-21
206,레이번07SP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1974-11-22
207,니퍼트15두P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1981-05-06
208,애킨스09롯P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1977-08-30
209,카도쿠라09SP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1973-03-09
210,서폴드19한P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1990-01-16
211,토마스09한P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1977-10-22
212,션헨12한P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1981-04-23
213,사도스키12롯P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1982-10-04
214,나이트12넥P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1975-10-01
215,팻딘18KP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1989-05-25
216,프록터12두P,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1977-01-02
217,브리검18넥P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1988-02-10
218,소사16LP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1985-07-28
219,라라16SP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1988-12-20
220,헥터16KP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1987-01-26
221,어센시오14KP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1984-05-05
222,오재영16넥P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1985-03-31
223,김동혁20키P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,2001-12-27
224,밴덴헐크14삼P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1985-05-22
225,디아즈08KP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1980-07-27
226,로저스16한P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1985-08-14
227,레일리16롯P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1988-06-29
228,니퍼트14두P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1981-05-06
229,로페즈11KP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1975-04-21
230,얀08SP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1975-06-22
231,데폴라11한P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1982-12-31
232,다카쓰08히P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1968-11-25
233,레이어08두P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1977-08-03
234,탈보트15한P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,1983-10-17
235,오넬리11한P,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,-0.02,1983-05-26
236,콜00SP,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,-0.02,1968-01-23
237,레스04두P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,-0.02,1973-01-10
238,라이블리20삼,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,-0.02,1992-03-05
239,스틴슨15K,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,-0.03,1988-03-14
240,피코타03한P,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,-0.05,1966-07-23
241,리오스07롯3B,38,142,134,12,31,7,0,2,44,17,0,1,4,1,0,18,3,0,3,,,,,,,-0.05,1972-10-13
242,보이03롯,7,23,21,0,4,2,0,0,6,0,0,0,2,0,0,11,0,0,0,,,,,,,-0.05,1966-04-16
243,해즐베이커19KCF,11,46,41,5,6,2,0,2,14,5,1,1,4,1,0,18,0,0,0,,,,,,,-0.06,1987-08-14
244,니일01두1B,17,68,57,7,11,4,0,1,18,3,0,0,10,1,0,15,2,0,0,,,,,,,-0.06,1965-09-14
245,스캇06K3B,48,169,153,10,25,1,1,6,46,14,0,0,10,5,1,37,5,0,1,,,,,,,-0.09,1975-05-17
246,워스17SDH,3,11,9,0,1,0,0,0,1,0,0,0,2,0,0,2,1,0,0,,,,,,,-0.11,1985-09-30
247,이시온04롯,4,14,12,1,1,0,0,0,1,1,0,0,2,0,0,7,0,0,0,,,,,,,-0.13,1975-09-24
248,메히아03한,30,120,112,9,29,3,0,3,41,13,1,4,2,1,0,23,3,3,2,,,,,,,-0.15,1972-04-14
249,가코11삼DH,58,220,189,21,46,8,0,1,57,28,0,1,22,5,0,34,12,0,4,,,,,,,-0.18,1981-01-02
250,카날리99현3B,17,40,38,2,7,0,0,1,10,3,0,0,2,0,0,4,2,0,0,,,,,,,-0.20,1965-08-01
251,왓슨09두DH,10,42,38,3,7,1,0,2,14,6,0,0,4,0,1,5,1,0,0,,,,,,,-0.21,1978-09-05
252,브링클리00현,27,100,91,9,19,1,0,3,29,14,2,0,6,0,0,25,4,0,3,,,,,,,-0.21,1968-12-23
253,타바레스01해LF,46,197,177,24,42,6,1,1,53,14,10,5,16,2,0,26,2,2,0,,,,,,,-0.21,1971-03-26
254,베로아02롯,11,35,31,1,3,1,0,1,7,3,0,0,3,0,0,15,0,0,1,,,,,,,-0.27,1965-03-18
255,퀸란02L3B,13,28,21,0,0,0,0,0,0,0,0,0,3,3,0,10,0,1,0,,,,,,,-0.28,1968-03-27
256,부시98한DH,76,259,240,20,51,11,1,10,94,28,0,0,16,1,2,81,11,1,1,,,,,,,-0.31,1968-07-07
257,임종찬20한RF,52,119,108,5,25,5,0,1,33,12,0,1,9,1,0,38,2,1,0,,,,,,,-0.32,2001-09-28
258,루츠15두3B,8,30,27,2,3,0,0,1,6,3,0,0,2,0,0,6,1,0,1,,,,,,,-0.34,1986-06-03
259,디아즈04한DH,70,224,187,25,39,12,0,7,72,26,2,5,22,5,0,27,9,6,4,,,,,,,-0.35,1971-09-29
260,헤어98해1B,29,72,68,3,14,3,0,0,17,3,0,0,4,0,0,25,3,0,0,,,,,,,-0.36,1967-03-26
261,포조00해3B,39,130,122,11,26,3,0,1,32,8,1,0,6,0,0,17,4,0,2,,,,,,,-0.42,1973-08-24
262,모터20키3B,10,37,35,4,4,0,0,1,7,3,0,0,1,0,0,10,0,0,1,,,,,,,-0.43,1989-09-18
263,반슬라이크18두RF,12,44,39,1,5,1,0,1,9,4,0,0,4,0,0,6,2,0,1,,,,,,,-0.43,1986-07-24
264,해처02롯,25,73,68,6,11,1,0,1,15,5,0,0,2,2,0,22,2,0,1,,,,,,,-0.47,1969-01-07
265,로페즈04삼DH,22,76,68,6,11,0,0,3,20,8,0,0,6,1,1,20,2,0,1,,,,,,,-0.47,1974-10-15
266,대니돈17넥1B,20,57,50,5,7,2,0,1,12,2,0,0,7,0,0,16,3,0,0,,,,,,,-0.48,1984-07-20
267,호잉20한RF,34,134,124,12,24,4,0,4,40,14,5,3,9,1,0,34,4,0,0,,,,,,,-0.54,1989-05-18
268,모넬17k1B,28,105,85,10,14,4,0,2,24,9,2,1,17,1,1,28,2,0,2,,,,,,,-0.55,1986-03-27
269,최인호20한LF,47,135,127,8,30,0,0,0,30,8,0,0,4,1,0,34,3,1,2,,,,,,,-0.72,2000-01-30
270,파레디스18두RF,21,71,65,7,9,2,1,1,16,4,1,0,4,1,1,17,0,0,1,,,,,,,-0.73,1988-11-25
