,ID,이름,생일,팀,시즌,포지션,나이,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,연봉(만원),연차
1134,55,조인성,1975-05-25,L,2003,C,29,132.0,456.0,428.0,43.0,110.0,20.0,2.0,19.0,191.0,58.0,0.0,1.0,15.0,8.0,0.0,67.0,17.0,1.0,4.0,0.257,0.292,0.446,0.7390000000000001,0.325,91.1,2.58,10000.0,6.0
1135,167,조경환,1972-08-27,롯,2000,LF,29,113.0,438.0,386.0,52.0,102.0,15.0,2.0,25.0,196.0,64.0,1.0,4.0,42.0,9.0,2.0,113.0,6.0,0.0,1.0,0.264,0.349,0.508,0.857,0.373,121.5,2.57,5000.0,3.0
1138,195,유강남,1992-07-15,L,2017,C,26,118.0,364.0,324.0,43.0,90.0,13.0,0.0,17.0,154.0,66.0,2.0,0.0,14.0,15.0,0.0,72.0,4.0,9.0,2.0,0.278,0.335,0.475,0.8109999999999999,0.34600000000000003,105.5,2.57,10000.0,7.0
1139,147,채태인,1982-10-11,삼,2009,1B,28,118.0,425.0,368.0,58.0,108.0,26.0,2.0,17.0,189.0,72.0,0.0,0.0,49.0,5.0,4.0,90.0,4.0,1.0,2.0,0.293,0.382,0.514,0.8959999999999999,0.392,127.6,2.57,7000.0,3.0
1140,84,이진영,1980-06-15,L,2010,1B,31,104.0,417.0,378.0,56.0,125.0,28.0,0.0,7.0,174.0,50.0,10.0,4.0,32.0,1.0,0.0,40.0,7.0,2.0,4.0,0.331,0.381,0.46,0.841,0.382,127.2,2.57,54000.0,12.0
1141,165,김주찬,1981-03-25,K,2015,DH,35,98.0,377.0,333.0,66.0,109.0,23.0,2.0,18.0,190.0,62.0,8.0,2.0,23.0,12.0,3.0,58.0,10.0,1.0,8.0,0.327,0.383,0.5710000000000001,0.954,0.408,137.3,2.57,50000.0,16.0
1142,114,진갑용,1974-05-08,삼,2011,C,38,112.0,331.0,286.0,26.0,78.0,7.0,0.0,10.0,115.0,42.0,1.0,0.0,35.0,3.0,2.0,53.0,10.0,6.0,1.0,0.273,0.35700000000000004,0.402,0.759,0.349,109.2,2.57,35000.0,15.0
1143,307,이영욱,1985-10-11,삼,2010,CF,26,120.0,479.0,408.0,68.0,111.0,19.0,2.0,4.0,146.0,42.0,30.0,8.0,51.0,7.0,2.0,86.0,4.0,9.0,4.0,0.272,0.36,0.358,0.7170000000000001,0.332,93.3,2.56,4095.0,3.0
1147,226,손시헌,1980-10-19,N,2017,SS,38,124.0,391.0,349.0,32.0,122.0,17.0,1.0,5.0,156.0,45.0,1.0,0.0,16.0,8.0,1.0,44.0,5.0,13.0,5.0,0.35,0.386,0.447,0.833,0.362,111.0,2.56,40000.0,15.0
1148,308,김성현,1987-03-09,S,2014,SS,28,122.0,476.0,398.0,73.0,113.0,20.0,1.0,5.0,150.0,43.0,6.0,3.0,55.0,7.0,0.0,51.0,7.0,10.0,6.0,0.284,0.376,0.377,0.752,0.345,94.8,2.56,7000.0,9.0
1149,85,이택근,1980-07-10,넥,2012,CF,33,94.0,391.0,345.0,54.0,95.0,20.0,1.0,8.0,141.0,55.0,13.0,8.0,31.0,3.0,2.0,30.0,10.0,6.0,6.0,0.275,0.335,0.409,0.7440000000000001,0.34,111.1,2.55,70000.0,10.0
1150,31,김태균,1982-05-29,한,2017,DH,36,94.0,407.0,356.0,51.0,121.0,22.0,0.0,17.0,194.0,76.0,0.0,0.0,43.0,4.0,7.0,56.0,13.0,0.0,4.0,0.34,0.413,0.545,0.958,0.413,142.3,2.55,160000.0,17.0
1152,183,이숭용,1971-03-10,현,2003,1B,33,133.0,573.0,511.0,70.0,150.0,25.0,0.0,18.0,229.0,76.0,4.0,2.0,47.0,4.0,0.0,69.0,10.0,7.0,4.0,0.294,0.355,0.448,0.8029999999999999,0.358,113.8,2.54,22000.0,10.0
1153,170,김태완,1984-01-27,한,2010,DH,27,116.0,473.0,370.0,62.0,98.0,13.0,0.0,15.0,156.0,62.0,7.0,6.0,86.0,13.0,3.0,99.0,9.0,0.0,2.0,0.265,0.418,0.422,0.84,0.39,132.2,2.54,10000.0,5.0
1154,123,최주환,1988-02-28,두,2017,2B,30,129.0,452.0,399.0,65.0,120.0,16.0,6.0,7.0,169.0,57.0,3.0,2.0,38.0,9.0,1.0,58.0,10.0,1.0,5.0,0.301,0.37,0.424,0.794,0.35700000000000004,108.7,2.54,10000.0,12.0
1156,0,이종범,1970-08-15,해,2001,3B,32,45.0,214.0,188.0,45.0,64.0,14.0,1.0,11.0,113.0,37.0,7.0,5.0,20.0,1.0,0.0,16.0,5.0,2.0,3.0,0.34,0.401,0.601,1.002,0.433,154.8,2.54,35000.0,9.0
1157,83,이종욱,1980-06-18,N,2016,CF,37,134.0,517.0,453.0,73.0,138.0,24.0,4.0,5.0,185.0,57.0,15.0,3.0,54.0,1.0,0.0,73.0,11.0,4.0,5.0,0.305,0.376,0.408,0.785,0.361,104.1,2.54,50000.0,11.0
1158,226,손시헌,1980-10-19,두,2011,SS,32,92.0,351.0,298.0,39.0,84.0,10.0,1.0,4.0,108.0,28.0,2.0,1.0,37.0,9.0,0.0,44.0,9.0,7.0,0.0,0.282,0.378,0.362,0.74,0.35100000000000003,110.5,2.53,20200.0,9.0
1161,51,나성범,1989-10-03,N,2013,CF,25,104.0,458.0,404.0,55.0,98.0,18.0,5.0,14.0,168.0,64.0,12.0,2.0,33.0,15.0,3.0,95.0,7.0,0.0,6.0,0.243,0.319,0.416,0.735,0.336,96.2,2.53,4000.0,1.0
1162,78,신동주,1972-12-14,해,2001,CF,30,116.0,435.0,387.0,64.0,110.0,24.0,1.0,11.0,169.0,52.0,13.0,8.0,33.0,10.0,3.0,58.0,5.0,1.0,4.0,0.284,0.353,0.4370000000000001,0.789,0.35600000000000004,104.3,2.53,7000.0,10.0
1163,309,손인호,1975-04-03,롯,2004,RF,30,122.0,480.0,408.0,54.0,116.0,21.0,2.0,5.0,156.0,42.0,3.0,2.0,62.0,5.0,2.0,75.0,5.0,1.0,4.0,0.284,0.382,0.382,0.764,0.359,113.3,2.53,6300.0,7.0
1164,310,김상훈,1977-10-27,K,2003,C,27,125.0,467.0,423.0,43.0,118.0,23.0,1.0,7.0,164.0,46.0,3.0,2.0,30.0,3.0,2.0,69.0,9.0,10.0,1.0,0.279,0.33,0.388,0.718,0.32,87.7,2.53,6800.0,4.0
1165,223,박재상,1982-07-20,S,2007,LF,26,123.0,368.0,312.0,53.0,84.0,16.0,1.0,10.0,132.0,37.0,21.0,7.0,42.0,6.0,2.0,50.0,5.0,8.0,0.0,0.269,0.3670000000000001,0.423,0.79,0.36,121.8,2.53,3200.0,7.0
1167,311,임수민,1973-05-31,한,1999,2B,27,107.0,399.0,339.0,64.0,93.0,16.0,0.0,16.0,157.0,57.0,2.0,1.0,47.0,3.0,0.0,67.0,8.0,7.0,3.0,0.274,0.365,0.463,0.828,0.359,108.8,2.53,2400.0,4.0
1169,280,홍원기,1973-06-05,두,2003,SS,31,124.0,453.0,384.0,43.0,105.0,13.0,1.0,8.0,144.0,42.0,0.0,3.0,54.0,3.0,2.0,65.0,7.0,9.0,3.0,0.273,0.365,0.375,0.74,0.336,98.6,2.53,7600.0,8.0
1170,6,홍현우,1972-09-28,해,2000,3B,29,88.0,361.0,291.0,42.0,68.0,16.0,2.0,14.0,130.0,50.0,12.0,7.0,62.0,5.0,5.0,63.0,11.0,0.0,3.0,0.234,0.374,0.447,0.821,0.363,115.0,2.52,14000.0,11.0
1171,312,박기혁,1981-06-04,롯,2008,SS,28,113.0,404.0,351.0,47.0,102.0,13.0,1.0,1.0,120.0,36.0,16.0,7.0,40.0,2.0,0.0,47.0,6.0,8.0,3.0,0.29100000000000004,0.364,0.342,0.706,0.334,99.1,2.52,8800.0,9.0
1172,135,강석천,1967-12-07,한,1999,3B,33,130.0,496.0,433.0,65.0,131.0,22.0,2.0,5.0,172.0,42.0,24.0,10.0,33.0,16.0,5.0,56.0,16.0,10.0,4.0,0.303,0.37,0.397,0.768,0.34,96.6,2.52,7300.0,11.0
1174,124,박경수,1984-03-31,K,2018,2B,35,135.0,528.0,458.0,65.0,120.0,21.0,0.0,25.0,216.0,74.0,4.0,1.0,58.0,9.0,2.0,129.0,16.0,0.0,3.0,0.262,0.354,0.472,0.826,0.35700000000000004,104.0,2.51,23000.0,16.0
1176,54,김재현,1975-10-02,S,2009,DH,35,112.0,359.0,289.0,45.0,87.0,18.0,0.0,10.0,135.0,51.0,8.0,1.0,63.0,5.0,3.0,45.0,5.0,0.0,1.0,0.301,0.433,0.467,0.9,0.408,139.6,2.51,50000.0,16.0
1178,286,이재주,1973-12-25,K,2004,C,32,119.0,298.0,250.0,34.0,64.0,16.0,1.0,8.0,106.0,39.0,0.0,2.0,40.0,6.0,3.0,51.0,9.0,0.0,2.0,0.256,0.369,0.424,0.7929999999999999,0.363,116.1,2.51,6500.0,13.0
1180,71,정수근,1977-01-20,롯,2005,CF,29,109.0,431.0,370.0,63.0,106.0,21.0,2.0,0.0,131.0,29.0,21.0,15.0,49.0,4.0,1.0,53.0,3.0,6.0,2.0,0.28600000000000003,0.374,0.354,0.728,0.341,105.7,2.5,25000.0,11.0
1185,53,장성호,1977-10-18,한,2012,1B,36,130.0,501.0,429.0,57.0,113.0,28.0,0.0,9.0,168.0,52.0,2.0,3.0,67.0,2.0,1.0,63.0,11.0,1.0,2.0,0.263,0.364,0.392,0.7559999999999999,0.358,123.2,2.5,13000.0,17.0
1186,135,강석천,1967-12-07,한,1998,3B,32,125.0,510.0,471.0,58.0,130.0,23.0,5.0,6.0,181.0,42.0,20.0,7.0,16.0,12.0,2.0,51.0,12.0,10.0,1.0,0.276,0.316,0.384,0.7,0.31,91.5,2.5,7000.0,10.0
1190,284,이성열,1984-07-13,L,2005,C,22,102.0,230.0,187.0,34.0,44.0,7.0,3.0,9.0,84.0,30.0,3.0,1.0,21.0,21.0,3.0,78.0,0.0,0.0,1.0,0.235,0.374,0.449,0.823,0.374,128.6,2.49,2000.0,2.0
1193,22,유지현,1971-05-25,L,2002,2B,32,91.0,386.0,326.0,51.0,101.0,14.0,3.0,1.0,124.0,25.0,21.0,9.0,38.0,2.0,0.0,51.0,3.0,16.0,4.0,0.31,0.381,0.38,0.7609999999999999,0.334,104.4,2.49,22000.0,9.0
1194,39,심재학,1972-10-18,L,1998,RF,27,124.0,490.0,412.0,47.0,110.0,22.0,1.0,11.0,167.0,70.0,0.0,1.0,59.0,7.0,5.0,65.0,6.0,1.0,11.0,0.267,0.36,0.405,0.765,0.342,114.2,2.49,5600.0,4.0
1196,316,김민재,1973-01-03,S,2005,SS,33,125.0,508.0,440.0,58.0,122.0,19.0,0.0,2.0,147.0,37.0,20.0,5.0,39.0,9.0,0.0,48.0,14.0,16.0,4.0,0.277,0.34600000000000003,0.334,0.68,0.313,86.1,2.48,13000.0,15.0
1198,208,박해민,1990-02-24,삼,2020,CF,31,132.0,541.0,489.0,84.0,142.0,18.0,5.0,11.0,203.0,55.0,34.0,12.0,39.0,3.0,1.0,77.0,7.0,7.0,3.0,0.29,0.345,0.415,0.76,0.342,97.8,2.48,30000.0,8.0
1201,318,김문호,1987-06-22,롯,2016,LF,30,140.0,599.0,526.0,77.0,171.0,28.0,3.0,7.0,226.0,70.0,12.0,15.0,62.0,6.0,1.0,70.0,15.0,3.0,2.0,0.325,0.401,0.43,0.831,0.384,117.0,2.47,7000.0,11.0
1202,202,허경민,1990-08-26,두,2019,3B,30,133.0,540.0,475.0,71.0,137.0,25.0,1.0,4.0,176.0,60.0,11.0,5.0,34.0,17.0,2.0,36.0,16.0,3.0,11.0,0.28800000000000003,0.35,0.371,0.721,0.334,102.7,2.47,26500.0,8.0
1203,319,한동희,1999-06-01,롯,2020,3B,22,135.0,531.0,461.0,62.0,128.0,22.0,0.0,17.0,201.0,67.0,0.0,3.0,57.0,5.0,0.0,97.0,15.0,5.0,3.0,0.278,0.361,0.436,0.797,0.36,108.4,2.47,4700.0,3.0
1204,198,조동찬,1983-07-27,삼,2006,3B,24,107.0,421.0,370.0,51.0,96.0,13.0,0.0,10.0,139.0,46.0,20.0,4.0,29.0,6.0,0.0,80.0,9.0,15.0,1.0,0.259,0.32299999999999995,0.376,0.698,0.317,98.3,2.47,10000.0,5.0
1205,128,강동우,1974-04-20,삼,2003,CF,30,130.0,520.0,443.0,61.0,118.0,19.0,4.0,9.0,172.0,57.0,8.0,4.0,53.0,5.0,0.0,51.0,17.0,15.0,4.0,0.266,0.349,0.388,0.737,0.329,93.9,2.47,10000.0,6.0
1206,320,이창진,1991-03-04,K,2019,CF,29,133.0,470.0,400.0,57.0,108.0,25.0,1.0,6.0,153.0,48.0,8.0,8.0,57.0,4.0,0.0,92.0,8.0,4.0,5.0,0.27,0.363,0.383,0.745,0.34700000000000003,108.0,2.46,2400.0,6.0
1207,321,최원준,1997-03-23,K,2020,CF,24,123.0,412.0,359.0,72.0,117.0,16.0,6.0,2.0,151.0,35.0,14.0,3.0,33.0,6.0,0.0,35.0,1.0,9.0,5.0,0.326,0.387,0.421,0.8079999999999999,0.365,112.5,2.46,7000.0,5.0
1208,322,정의윤,1986-07-25,LS,2015,DH,30,91.0,297.0,259.0,38.0,83.0,14.0,0.0,14.0,139.0,51.0,5.0,0.0,26.0,9.0,0.0,46.0,6.0,0.0,3.0,0.32,0.397,0.537,0.934,0.411,145.6,2.46,12000.0,11.0
1209,85,이택근,1980-07-10,넥,2015,CF,36,105.0,401.0,347.0,61.0,113.0,16.0,1.0,10.0,161.0,44.0,11.0,6.0,44.0,3.0,4.0,53.0,8.0,3.0,4.0,0.326,0.402,0.464,0.866,0.386,122.6,2.46,50000.0,13.0
1211,71,정수근,1977-01-20,O,1997,CF,21,103.0,443.0,377.0,59.0,99.0,9.0,2.0,2.0,118.0,34.0,50.0,15.0,46.0,7.0,1.0,49.0,5.0,7.0,6.0,0.263,0.349,0.313,0.662,0.309,89.6,2.45,4600.0,3.0
1214,179,최준석,1983-02-15,롯,2014,DH,32,121.0,460.0,371.0,54.0,106.0,13.0,0.0,23.0,188.0,90.0,1.0,0.0,81.0,2.0,3.0,88.0,14.0,0.0,6.0,0.28600000000000003,0.411,0.507,0.918,0.405,128.0,2.44,40000.0,13.0
1216,191,김민성,1988-12-17,넥,2015,3B,28,118.0,489.0,445.0,60.0,135.0,24.0,0.0,16.0,207.0,71.0,1.0,1.0,31.0,8.0,1.0,62.0,15.0,2.0,3.0,0.303,0.35700000000000004,0.465,0.823,0.365,108.2,2.44,22000.0,9.0
1217,284,이성열,1984-07-13,한,2019,RF,36,129.0,476.0,414.0,60.0,106.0,21.0,1.0,21.0,192.0,85.0,8.0,4.0,48.0,9.0,1.0,114.0,7.0,1.0,4.0,0.256,0.343,0.464,0.807,0.364,124.2,2.44,25000.0,16.0
1218,114,진갑용,1974-05-08,삼,2008,C,35,105.0,313.0,272.0,34.0,76.0,7.0,0.0,11.0,116.0,45.0,1.0,1.0,30.0,1.0,3.0,41.0,6.0,6.0,4.0,0.279,0.349,0.426,0.775,0.349,109.8,2.44,50000.0,12.0
1219,170,김태완,1984-01-27,한,2008,DH,25,124.0,450.0,383.0,44.0,102.0,16.0,0.0,23.0,187.0,73.0,0.0,1.0,50.0,11.0,4.0,78.0,9.0,0.0,6.0,0.266,0.362,0.488,0.851,0.385,133.3,2.44,3000.0,3.0
1221,226,손시헌,1980-10-19,두,2010,SS,31,128.0,499.0,433.0,51.0,118.0,19.0,1.0,8.0,163.0,62.0,0.0,2.0,46.0,7.0,2.0,64.0,12.0,10.0,3.0,0.273,0.35,0.376,0.726,0.331,93.0,2.42,18500.0,8.0
1222,187,배영섭,1986-06-27,삼,2012,CF,27,122.0,479.0,412.0,64.0,101.0,15.0,2.0,2.0,126.0,34.0,27.0,6.0,48.0,9.0,0.0,69.0,4.0,7.0,3.0,0.245,0.335,0.306,0.6409999999999999,0.308,88.8,2.42,7000.0,3.0
1223,3,이승엽,1976-08-18,삼,2014,DH,39,127.0,548.0,506.0,83.0,156.0,30.0,0.0,32.0,282.0,101.0,5.0,1.0,40.0,0.0,3.0,77.0,10.0,0.0,2.0,0.308,0.358,0.557,0.915,0.393,118.3,2.42,80000.0,20.0
1225,325,이명기,1987-12-26,KN,2019,RF,33,139.0,547.0,484.0,62.0,142.0,17.0,3.0,2.0,171.0,35.0,14.0,4.0,48.0,4.0,2.0,66.0,12.0,7.0,4.0,0.293,0.359,0.353,0.713,0.332,97.8,2.41,25000.0,12.0
1226,39,심재학,1972-10-18,두,2002,RF,31,119.0,463.0,383.0,56.0,94.0,16.0,3.0,15.0,161.0,57.0,2.0,1.0,67.0,6.0,4.0,55.0,11.0,0.0,7.0,0.245,0.361,0.42,0.7809999999999999,0.34600000000000003,113.0,2.41,20000.0,8.0
1227,326,권희동,1990-12-30,N,2017,LF,28,141.0,554.0,472.0,72.0,135.0,20.0,2.0,19.0,216.0,86.0,3.0,3.0,51.0,17.0,1.0,90.0,12.0,7.0,7.0,0.28600000000000003,0.371,0.458,0.8290000000000001,0.363,110.8,2.41,6800.0,5.0
1229,325,이명기,1987-12-26,S,2015,LF,29,137.0,582.0,521.0,88.0,164.0,30.0,2.0,3.0,207.0,35.0,22.0,10.0,35.0,11.0,0.0,86.0,7.0,11.0,4.0,0.315,0.368,0.397,0.765,0.34700000000000003,102.3,2.41,18000.0,8.0
1230,69,이범호,1981-11-25,K,2014,3B,34,105.0,406.0,350.0,47.0,94.0,23.0,0.0,19.0,174.0,82.0,2.0,2.0,41.0,11.0,1.0,89.0,9.0,0.0,4.0,0.269,0.36,0.4970000000000001,0.857,0.375,111.8,2.41,45000.0,15.0
1231,173,이천웅,1988-10-20,L,2018,LF,31,112.0,405.0,359.0,61.0,122.0,22.0,3.0,2.0,156.0,39.0,10.0,10.0,39.0,3.0,2.0,48.0,11.0,2.0,2.0,0.34,0.407,0.435,0.8420000000000001,0.377,119.7,2.41,8000.0,7.0
1232,10,강정호,1987-04-05,히,2008,SS,22,116.0,408.0,362.0,36.0,98.0,18.0,1.0,8.0,142.0,47.0,3.0,1.0,31.0,5.0,1.0,65.0,12.0,7.0,3.0,0.271,0.334,0.392,0.726,0.334,99.4,2.41,2000.0,3.0
1233,115,조원우,1971-04-08,쌍,1997,LF,27,126.0,489.0,424.0,61.0,136.0,18.0,9.0,5.0,187.0,49.0,15.0,7.0,24.0,2.0,3.0,48.0,13.0,33.0,6.0,0.321,0.355,0.441,0.7959999999999999,0.333,106.8,2.41,4200.0,4.0
1235,91,이호준,1976-02-08,N,2013,DH,38,126.0,508.0,442.0,46.0,123.0,25.0,1.0,20.0,210.0,87.0,2.0,3.0,60.0,1.0,3.0,109.0,8.0,0.0,5.0,0.278,0.362,0.475,0.8370000000000001,0.381,126.9,2.4,45000.0,20.0
1238,329,정상호,1982-12-24,S,2011,C,30,112.0,401.0,366.0,40.0,95.0,19.0,0.0,11.0,147.0,50.0,0.0,2.0,22.0,8.0,1.0,96.0,10.0,3.0,2.0,0.26,0.314,0.402,0.716,0.329,95.9,2.4,10000.0,11.0
1240,124,박경수,1984-03-31,K,2020,2B,37,119.0,391.0,324.0,33.0,91.0,17.0,0.0,13.0,147.0,59.0,0.0,1.0,48.0,9.0,2.0,96.0,14.0,3.0,7.0,0.281,0.381,0.454,0.835,0.374,118.7,2.4,40000.0,18.0
1242,165,김주찬,1981-03-25,롯,2011,LF,31,86.0,371.0,321.0,58.0,100.0,12.0,3.0,6.0,136.0,40.0,25.0,10.0,27.0,7.0,0.0,38.0,4.0,12.0,4.0,0.312,0.373,0.424,0.797,0.361,117.3,2.4,17000.0,12.0
1243,84,이진영,1980-06-15,S,2008,1B,29,95.0,363.0,324.0,53.0,102.0,20.0,0.0,8.0,146.0,53.0,12.0,6.0,31.0,3.0,3.0,26.0,4.0,2.0,3.0,0.315,0.377,0.451,0.8270000000000001,0.38,131.3,2.39,24000.0,10.0
1245,331,정보명,1980-08-23,롯,2007,3B,28,119.0,436.0,394.0,40.0,111.0,24.0,3.0,2.0,147.0,45.0,5.0,1.0,30.0,4.0,0.0,75.0,12.0,5.0,3.0,0.282,0.336,0.373,0.71,0.33,99.9,2.39,3000.0,5.0
1249,50,홍성흔,1977-02-28,두,2008,DH,32,114.0,460.0,423.0,45.0,140.0,19.0,2.0,8.0,187.0,63.0,8.0,1.0,25.0,4.0,5.0,35.0,16.0,3.0,5.0,0.331,0.37,0.442,0.812,0.3720000000000001,125.3,2.38,31000.0,10.0
1250,215,최진행,1985-08-17,한,2015,LF,31,109.0,410.0,333.0,55.0,97.0,17.0,0.0,18.0,168.0,64.0,0.0,3.0,65.0,4.0,6.0,101.0,9.0,5.0,3.0,0.29100000000000004,0.41,0.505,0.914,0.397,128.2,2.38,18500.0,12.0
1253,71,정수근,1977-01-20,롯,2007,LF,31,105.0,395.0,341.0,45.0,100.0,25.0,1.0,4.0,139.0,36.0,10.0,5.0,42.0,1.0,0.0,38.0,6.0,9.0,2.0,0.293,0.371,0.408,0.778,0.35700000000000004,119.6,2.37,30000.0,13.0
1254,7,양준혁,1969-05-26,삼,2002,RF,34,132.0,437.0,391.0,60.0,108.0,23.0,2.0,14.0,177.0,50.0,2.0,3.0,39.0,5.0,3.0,56.0,9.0,0.0,1.0,0.276,0.349,0.453,0.8009999999999999,0.35200000000000004,116.4,2.37,33000.0,10.0
1255,17,서건창,1989-08-22,키,2019,2B,31,113.0,486.0,426.0,67.0,128.0,23.0,3.0,2.0,163.0,41.0,17.0,3.0,49.0,3.0,1.0,50.0,5.0,3.0,5.0,0.3,0.373,0.383,0.755,0.35200000000000004,112.9,2.36,38000.0,12.0
1257,156,나지완,1985-05-19,K,2009,LF,25,128.0,457.0,384.0,58.0,101.0,12.0,0.0,23.0,182.0,73.0,4.0,1.0,58.0,8.0,3.0,90.0,9.0,3.0,4.0,0.263,0.368,0.474,0.8420000000000001,0.37,113.6,2.36,3800.0,2.0
1258,334,고종욱,1989-01-11,넥,2016,LF,28,133.0,566.0,527.0,92.0,176.0,22.0,9.0,8.0,240.0,72.0,28.0,14.0,28.0,5.0,1.0,103.0,10.0,1.0,5.0,0.334,0.37,0.455,0.825,0.373,105.4,2.36,7700.0,6.0
1260,85,이택근,1980-07-10,L,2010,1B,31,91.0,388.0,337.0,66.0,102.0,17.0,1.0,14.0,163.0,50.0,14.0,6.0,38.0,4.0,3.0,55.0,10.0,6.0,3.0,0.303,0.377,0.484,0.861,0.38,125.7,2.36,27000.0,8.0
1262,156,나지완,1985-05-19,K,2018,DH,34,114.0,379.0,317.0,50.0,86.0,18.0,0.0,26.0,182.0,78.0,0.0,0.0,38.0,19.0,2.0,81.0,14.0,0.0,5.0,0.271,0.377,0.574,0.951,0.397,134.3,2.35,60000.0,11.0
1264,35,박정태,1969-01-27,롯,2000,2B,32,107.0,439.0,386.0,51.0,110.0,15.0,2.0,6.0,147.0,53.0,3.0,0.0,47.0,1.0,1.0,42.0,13.0,2.0,3.0,0.285,0.362,0.381,0.742,0.34,99.4,2.35,14500.0,10.0
1265,115,조원우,1971-04-08,S,2003,CF,33,128.0,518.0,452.0,65.0,127.0,18.0,0.0,8.0,169.0,48.0,13.0,5.0,35.0,14.0,1.0,65.0,7.0,13.0,4.0,0.281,0.349,0.374,0.722,0.326,91.3,2.35,8000.0,10.0
1267,60,박용택,1979-04-21,L,2011,DH,33,115.0,450.0,414.0,57.0,125.0,21.0,1.0,15.0,193.0,64.0,13.0,3.0,26.0,5.0,4.0,71.0,8.0,1.0,4.0,0.302,0.34700000000000003,0.466,0.8140000000000001,0.37,123.6,2.35,35000.0,10.0
1268,5,장종훈,1968-04-10,한,2000,1B,33,127.0,512.0,447.0,66.0,118.0,19.0,0.0,28.0,221.0,81.0,1.0,3.0,52.0,11.0,5.0,114.0,15.0,0.0,2.0,0.264,0.354,0.494,0.848,0.369,118.6,2.35,12000.0,14.0
1269,135,강석천,1967-12-07,한,2000,3B,34,123.0,487.0,433.0,57.0,124.0,24.0,2.0,7.0,173.0,49.0,15.0,8.0,34.0,10.0,2.0,61.0,18.0,5.0,5.0,0.28600000000000003,0.349,0.4,0.748,0.335,96.5,2.35,9500.0,12.0
1271,165,김주찬,1981-03-25,K,2017,1B,37,122.0,478.0,440.0,78.0,136.0,39.0,2.0,12.0,215.0,70.0,9.0,2.0,31.0,4.0,0.0,59.0,17.0,2.0,1.0,0.309,0.359,0.489,0.848,0.3720000000000001,116.0,2.34,60000.0,18.0
1275,224,이대형,1983-07-19,K,2014,CF,32,126.0,505.0,461.0,75.0,149.0,15.0,9.0,1.0,185.0,40.0,22.0,15.0,35.0,2.0,2.0,57.0,5.0,5.0,2.0,0.32299999999999995,0.3720000000000001,0.401,0.773,0.353,95.5,2.34,30000.0,12.0
1276,230,노진혁,1989-07-15,N,2019,SS,31,110.0,390.0,348.0,51.0,92.0,23.0,2.0,13.0,158.0,43.0,0.0,1.0,31.0,2.0,2.0,80.0,7.0,6.0,3.0,0.264,0.326,0.454,0.78,0.345,105.8,2.34,4300.0,7.0
1277,325,이명기,1987-12-26,K,2017,RF,31,115.0,512.0,464.0,79.0,154.0,24.0,4.0,9.0,213.0,63.0,8.0,7.0,28.0,3.0,0.0,57.0,2.0,14.0,3.0,0.332,0.3720000000000001,0.459,0.831,0.361,108.6,2.33,15000.0,10.0
1279,172,이종열,1973-01-28,L,2007,2B,35,121.0,459.0,389.0,46.0,111.0,13.0,2.0,4.0,140.0,53.0,5.0,3.0,46.0,1.0,0.0,39.0,8.0,19.0,4.0,0.285,0.359,0.36,0.7190000000000001,0.328,98.5,2.32,17000.0,17.0
1280,183,이숭용,1971-03-10,현,2001,1B,31,124.0,496.0,430.0,53.0,129.0,29.0,1.0,10.0,190.0,64.0,4.0,0.0,47.0,9.0,2.0,47.0,5.0,6.0,4.0,0.3,0.378,0.442,0.8190000000000001,0.37,113.6,2.32,10500.0,8.0
1281,142,김대익,1973-06-03,롯,1997,CF,25,122.0,412.0,356.0,47.0,97.0,22.0,3.0,6.0,143.0,35.0,13.0,14.0,40.0,2.0,1.0,73.0,2.0,10.0,4.0,0.272,0.34600000000000003,0.402,0.748,0.333,106.3,2.32,3120.0,2.0
1282,183,이숭용,1971-03-10,현,2004,1B,34,133.0,549.0,468.0,60.0,137.0,29.0,0.0,9.0,193.0,85.0,0.0,3.0,58.0,13.0,6.0,87.0,17.0,4.0,6.0,0.293,0.382,0.412,0.794,0.364,116.5,2.32,25000.0,11.0
1284,142,김대익,1973-06-03,롯,2000,CF,28,133.0,534.0,464.0,72.0,129.0,27.0,4.0,6.0,182.0,47.0,12.0,11.0,53.0,2.0,3.0,82.0,5.0,11.0,4.0,0.278,0.35200000000000004,0.392,0.7440000000000001,0.331,93.3,2.31,6700.0,5.0
1285,179,최준석,1983-02-15,두,2011,1B,29,124.0,485.0,421.0,49.0,114.0,26.0,0.0,15.0,185.0,75.0,0.0,1.0,56.0,1.0,1.0,104.0,11.0,2.0,5.0,0.271,0.354,0.439,0.794,0.365,120.2,2.31,16200.0,10.0
1286,283,백재호,1974-06-30,한,1997,2B,24,110.0,402.0,338.0,42.0,82.0,12.0,1.0,16.0,144.0,55.0,2.0,3.0,41.0,6.0,0.0,66.0,5.0,12.0,5.0,0.243,0.331,0.426,0.757,0.332,105.7,2.3,2000.0,1.0
1287,75,정성훈,1980-06-27,현,2004,3B,25,118.0,540.0,470.0,66.0,125.0,23.0,0.0,8.0,172.0,59.0,1.0,3.0,54.0,7.0,3.0,60.0,11.0,8.0,1.0,0.266,0.35,0.366,0.716,0.331,94.1,2.3,12300.0,6.0
