,이름,생일,시즌,연봉(만원),연차
1273,박정권,1981-07-21,2007,2000,4
1274,박정권,1981-07-21,2008,4000,5
1275,박정권,1981-07-21,2009,5000,6
1276,박정권,1981-07-21,2010,12500,7
1277,박정권,1981-07-21,2011,20000,8
1278,박정권,1981-07-21,2012,19500,9
1279,박정권,1981-07-21,2013,20500,10
1280,박정권,1981-07-21,2014,23500,11
1281,박정권,1981-07-21,2015,40000,12
1282,박정권,1981-07-21,2016,40000,13
1283,박정권,1981-07-21,2017,40000,14
1284,박정권,1981-07-21,2018,40000,15
1285,박정권,1981-07-21,2019,900000,16
1286,홍창기,1993-11-21,2016,2700,1
1287,홍창기,1993-11-21,2018,2700,3
1288,홍창기,1993-11-21,2019,2700,4
1289,홍창기,1993-11-21,2020,3800,5
1290,최준석,1983-02-15,2002,1700,1
1291,최준석,1983-02-15,2004,1800,3
1292,최준석,1983-02-15,2005,2000,4
1293,최준석,1983-02-15,2006,2000,5
1294,최준석,1983-02-15,2007,5500,6
1295,최준석,1983-02-15,2008,8000,7
1296,최준석,1983-02-15,2009,6200,8
1297,최준석,1983-02-15,2010,10500,9
1298,최준석,1983-02-15,2011,16200,10
1299,최준석,1983-02-15,2012,17000,11
1300,최준석,1983-02-15,2013,14500,12
1301,최준석,1983-02-15,2014,40000,13
1302,최준석,1983-02-15,2015,40000,14
1303,최준석,1983-02-15,2016,40000,15
1304,최준석,1983-02-15,2017,40000,16
1305,최준석,1983-02-15,2018,40000,17
1306,김원섭,1978-12-18,2001,,1
1307,김원섭,1978-12-18,2003,,3
1308,김원섭,1978-12-18,2004,2300,4
1309,김원섭,1978-12-18,2005,2800,5
1310,김원섭,1978-12-18,2006,2800,6
1311,김원섭,1978-12-18,2007,5300,7
1312,김원섭,1978-12-18,2008,4700,8
1313,김원섭,1978-12-18,2009,9000,9
1314,김원섭,1978-12-18,2010,17000,10
1315,김원섭,1978-12-18,2011,14000,11
1316,김원섭,1978-12-18,2012,13000,12
1317,김원섭,1978-12-18,2013,25000,13
1318,김원섭,1978-12-18,2014,25000,14
1319,김원섭,1978-12-18,2015,15000,15
1320,김원섭,1978-12-18,2016,15000,16
1321,김재호,1985-03-21,2004,,1
1322,김재호,1985-03-21,2005,2300,2
1323,김재호,1985-03-21,2008,2600,5
1324,김재호,1985-03-21,2009,4400,6
1325,김재호,1985-03-21,2010,5400,7
1326,김재호,1985-03-21,2011,5200,8
1327,김재호,1985-03-21,2012,5700,9
1328,김재호,1985-03-21,2013,7000,10
1329,김재호,1985-03-21,2014,11700,11
1330,김재호,1985-03-21,2015,41000,12
1331,김재호,1985-03-21,2016,41000,13
1332,김재호,1985-03-21,2017,65000,14
1333,김재호,1985-03-21,2018,65000,15
1334,김재호,1985-03-21,2019,65000,16
1335,김재호,1985-03-21,2020,65000,17
1336,에반스,1986-01-30,2016,55000,1
1337,에반스,1986-01-30,2017,900000,2
1338,배영섭,1986-06-27,2010,2400,1
1339,배영섭,1986-06-27,2011,2600,2
1340,배영섭,1986-06-27,2012,7000,3
1341,배영섭,1986-06-27,2013,8500,4
1342,배영섭,1986-06-27,2015,16000,6
1343,배영섭,1986-06-27,2016,16000,7
1344,배영섭,1986-06-27,2017,15000,8
1345,배영섭,1986-06-27,2018,13000,9
1346,배영섭,1986-06-27,2019,900000,10
1347,한동민,1989-08-09,2012,,1
1348,한동민,1989-08-09,2013,2400,2
1349,한동민,1989-08-09,2014,6500,3
1350,한동민,1989-08-09,2016,6500,5
1351,한동민,1989-08-09,2017,7000,6
1352,한동민,1989-08-09,2018,15000,7
1353,한동민,1989-08-09,2019,15000,8
1354,한동민,1989-08-09,2020,25000,9
1355,호잉,1989-05-18,2018,40000,1
1356,호잉,1989-05-18,2019,40000,2
1357,호잉,1989-05-18,2020,55000,3
1358,김민성,1988-12-17,2007,,1
1359,김민성,1988-12-17,2008,2100,2
1360,김민성,1988-12-17,2009,2300,3
1361,김민성,1988-12-17,2010,2300,4
1362,김민성,1988-12-17,2011,5500,5
1363,김민성,1988-12-17,2012,7500,6
1364,김민성,1988-12-17,2013,8500,7
1365,김민성,1988-12-17,2014,18000,8
1366,김민성,1988-12-17,2015,22000,9
1367,김민성,1988-12-17,2016,22000,10
1368,김민성,1988-12-17,2017,37000,11
1369,김민성,1988-12-17,2018,35000,12
1370,김민성,1988-12-17,2019,35000,13
1371,김민성,1988-12-17,2020,40000,14
1372,유강남,1992-07-15,2011,,1
1373,유강남,1992-07-15,2012,2400,2
1374,유강남,1992-07-15,2015,8100,5
1375,유강남,1992-07-15,2016,8100,6
1376,유강남,1992-07-15,2017,10000,7
1377,유강남,1992-07-15,2018,18500,8
1378,유강남,1992-07-15,2019,18500,9
1379,유강남,1992-07-15,2020,23000,10
1380,조동찬,1983-07-27,2002,,1
1381,조동찬,1983-07-27,2003,2200,2
1382,조동찬,1983-07-27,2004,2700,3
1383,조동찬,1983-07-27,2005,5400,4
1384,조동찬,1983-07-27,2006,10000,5
1385,조동찬,1983-07-27,2007,13000,6
1386,조동찬,1983-07-27,2008,11000,7
1387,조동찬,1983-07-27,2009,9000,8
1388,조동찬,1983-07-27,2010,9500,9
1389,조동찬,1983-07-27,2011,13500,10
1390,조동찬,1983-07-27,2012,11000,11
1391,조동찬,1983-07-27,2013,15000,12
1392,조동찬,1983-07-27,2014,22000,13
1393,조동찬,1983-07-27,2016,40000,15
1394,조동찬,1983-07-27,2017,40000,16
1395,조동찬,1983-07-27,2018,900000,17
1396,허경민,1990-08-26,2012,2500,1
1397,허경민,1990-08-26,2013,4100,2
1398,허경민,1990-08-26,2014,8000,3
1399,허경민,1990-08-26,2015,20000,4
1400,허경민,1990-08-26,2016,20000,5
1401,허경민,1990-08-26,2017,30000,6
1402,허경민,1990-08-26,2018,26500,7
1403,허경민,1990-08-26,2019,26500,8
1404,허경민,1990-08-26,2020,48000,9
1405,배정대,1995-06-12,2019,,1
1406,배정대,1995-06-12,2020,4800,2
1407,최재훈,1989-08-27,2008,,1
1408,최재훈,1989-08-27,2012,2500,5
1409,최재훈,1989-08-27,2013,3500,6
1410,최재훈,1989-08-27,2014,5000,7
1411,최재훈,1989-08-27,2015,6800,8
1412,최재훈,1989-08-27,2016,6800,9
1413,최재훈,1989-08-27,2017,6800,10
1414,최재훈,1989-08-27,2018,8000,11
1415,최재훈,1989-08-27,2019,8000,12
1416,최재훈,1989-08-27,2020,20000,13
1417,오재원,1985-02-09,2007,,1
1418,오재원,1985-02-09,2008,2500,2
1419,오재원,1985-02-09,2009,4400,3
1420,오재원,1985-02-09,2010,5200,4
1421,오재원,1985-02-09,2011,8500,5
1422,오재원,1985-02-09,2012,14500,6
1423,오재원,1985-02-09,2013,12500,7
1424,오재원,1985-02-09,2014,17000,8
1425,오재원,1985-02-09,2015,40000,9
1426,오재원,1985-02-09,2016,55000,10
1427,오재원,1985-02-09,2017,55000,11
1428,오재원,1985-02-09,2018,55000,12
1429,오재원,1985-02-09,2019,55000,13
1430,오재원,1985-02-09,2020,30000,14
1431,박해민,1990-02-24,2013,,1
1432,박해민,1990-02-24,2014,2400,2
1433,박해민,1990-02-24,2015,15000,3
1434,박해민,1990-02-24,2016,15000,4
1435,박해민,1990-02-24,2017,23000,5
1436,박해민,1990-02-24,2018,29000,6
1437,박해민,1990-02-24,2019,29000,7
1438,박해민,1990-02-24,2020,30000,8
1439,이도형,1975-05-24,1994,,1
1440,이도형,1975-05-24,1995,,2
1441,이도형,1975-05-24,1996,,3
1442,이도형,1975-05-24,1997,3600,4
1443,이도형,1975-05-24,2000,3600,7
1444,이도형,1975-05-24,2001,4600,8
1445,이도형,1975-05-24,2002,5500,9
1446,이도형,1975-05-24,2003,6500,10
1447,이도형,1975-05-24,2004,8500,11
1448,이도형,1975-05-24,2005,9500,12
1449,이도형,1975-05-24,2006,11500,13
1450,이도형,1975-05-24,2007,15000,14
1451,이도형,1975-05-24,2008,11000,15
1452,이도형,1975-05-24,2009,7000,16
1453,이도형,1975-05-24,2010,10000,17
1454,최진행,1985-08-17,2004,,1
1455,최진행,1985-08-17,2005,3000,2
1456,최진행,1985-08-17,2008,2700,5
1457,최진행,1985-08-17,2009,2500,6
1458,최진행,1985-08-17,2010,3000,7
1459,최진행,1985-08-17,2011,10000,8
1460,최진행,1985-08-17,2012,15000,9
1461,최진행,1985-08-17,2013,14000,10
1462,최진행,1985-08-17,2014,17000,11
1463,최진행,1985-08-17,2015,18500,12
1464,최진행,1985-08-17,2016,18500,13
1465,최진행,1985-08-17,2017,17000,14
1466,최진행,1985-08-17,2018,19000,15
1467,최진행,1985-08-17,2019,19000,16
1468,최진행,1985-08-17,2020,16000,17
1469,신명철,1978-08-06,2001,,1
1470,신명철,1978-08-06,2002,2000,2
1471,신명철,1978-08-06,2003,2700,3
1472,신명철,1978-08-06,2004,3800,4
1473,신명철,1978-08-06,2005,4300,5
1474,신명철,1978-08-06,2006,6600,6
1475,신명철,1978-08-06,2007,7500,7
1476,신명철,1978-08-06,2008,10500,8
1477,신명철,1978-08-06,2009,7500,9
1478,신명철,1978-08-06,2010,13500,10
1479,신명철,1978-08-06,2011,16000,11
1480,신명철,1978-08-06,2012,15000,12
1481,신명철,1978-08-06,2013,15000,13
1482,신명철,1978-08-06,2015,900000,15
1483,박종호,1973-07-27,1992,,1
1484,박종호,1973-07-27,1993,,2
1485,박종호,1973-07-27,1994,,3
1486,박종호,1973-07-27,1995,,4
1487,박종호,1973-07-27,1997,4500,6
1488,박종호,1973-07-27,1998,4500,7
1489,박종호,1973-07-27,1999,4900,8
1490,박종호,1973-07-27,2000,7500,9
1491,박종호,1973-07-27,2001,13500,10
1492,박종호,1973-07-27,2002,13500,11
1493,박종호,1973-07-27,2003,15000,12
1494,박종호,1973-07-27,2004,22500,13
1495,박종호,1973-07-27,2005,22500,14
1496,박종호,1973-07-27,2006,22500,15
1497,박종호,1973-07-27,2007,22500,16
1498,박종호,1973-07-27,2008,18000,17
1499,박종호,1973-07-27,2009,6000,18
1500,정훈,1987-07-18,2010,,1
1501,정훈,1987-07-18,2011,2600,2
1502,정훈,1987-07-18,2012,3000,3
1503,정훈,1987-07-18,2013,4200,4
1504,정훈,1987-07-18,2014,8000,5
1505,정훈,1987-07-18,2015,21000,6
1506,정훈,1987-07-18,2016,21000,7
1507,정훈,1987-07-18,2017,15000,8
1508,정훈,1987-07-18,2018,10000,9
1509,정훈,1987-07-18,2019,10000,10
1510,정훈,1987-07-18,2020,6400,11
1511,발데스,1973-06-29,2007,,1
1512,박재상,1982-07-20,2001,,1
1513,박재상,1982-07-20,2005,2000,5
1514,박재상,1982-07-20,2006,2200,6
1515,박재상,1982-07-20,2007,3200,7
1516,박재상,1982-07-20,2008,7000,8
1517,박재상,1982-07-20,2009,10000,9
1518,박재상,1982-07-20,2010,16000,10
1519,박재상,1982-07-20,2011,17000,11
1520,박재상,1982-07-20,2012,16000,12
1521,박재상,1982-07-20,2013,14000,13
1522,박재상,1982-07-20,2014,16000,14
1523,박재상,1982-07-20,2015,20000,15
1524,박재상,1982-07-20,2016,20000,16
1525,이대형,1983-07-19,2003,,1
1526,이대형,1983-07-19,2004,2000,2
1527,이대형,1983-07-19,2005,2600,3
1528,이대형,1983-07-19,2006,3800,4
1529,이대형,1983-07-19,2007,3800,5
1530,이대형,1983-07-19,2008,8000,6
1531,이대형,1983-07-19,2009,9500,7
1532,이대형,1983-07-19,2010,12000,8
1533,이대형,1983-07-19,2011,14000,9
1534,이대형,1983-07-19,2012,8500,10
1535,이대형,1983-07-19,2013,8500,11
1536,이대형,1983-07-19,2014,30000,12
1537,이대형,1983-07-19,2015,30000,13
1538,이대형,1983-07-19,2016,30000,14
1539,이대형,1983-07-19,2017,30000,15
1540,이대형,1983-07-19,2018,20000,16
1541,이대형,1983-07-19,2019,900000,17
1542,이원석,1986-10-21,2005,,1
1543,이원석,1986-10-21,2006,3000,2
1544,이원석,1986-10-21,2007,5500,3
1545,이원석,1986-10-21,2008,6800,4
1546,이원석,1986-10-21,2009,6800,5
1547,이원석,1986-10-21,2010,10500,6
1548,이원석,1986-10-21,2011,9400,7
1549,이원석,1986-10-21,2012,8400,8
1550,이원석,1986-10-21,2013,10000,9
1551,이원석,1986-10-21,2014,15000,10
1552,이원석,1986-10-21,2016,15000,12
1553,이원석,1986-10-21,2017,30000,13
1554,이원석,1986-10-21,2018,30000,14
1555,이원석,1986-10-21,2019,30000,15
1556,이원석,1986-10-21,2020,30000,16
1557,손시헌,1980-10-19,2003,,1
1558,손시헌,1980-10-19,2004,2700,2
1559,손시헌,1980-10-19,2005,6000,3
1560,손시헌,1980-10-19,2006,13000,4
1561,손시헌,1980-10-19,2009,13000,7
1562,손시헌,1980-10-19,2010,18500,8
1563,손시헌,1980-10-19,2011,20200,9
1564,손시헌,1980-10-19,2012,19700,10
1565,손시헌,1980-10-19,2013,18000,11
1566,손시헌,1980-10-19,2014,40000,12
1567,손시헌,1980-10-19,2015,40000,13
1568,손시헌,1980-10-19,2016,40000,14
1569,손시헌,1980-10-19,2017,40000,15
1570,손시헌,1980-10-19,2018,50000,16
1571,손시헌,1980-10-19,2019,900000,17
1572,김상수,1990-03-23,2009,2200,1
1573,김상수,1990-03-23,2010,3500,2
1574,김상수,1990-03-23,2011,7000,3
1575,김상수,1990-03-23,2012,12500,4
1576,김상수,1990-03-23,2013,17000,5
1577,김상수,1990-03-23,2014,24000,6
1578,김상수,1990-03-23,2015,31000,7
1579,김상수,1990-03-23,2016,31000,8
1580,김상수,1990-03-23,2017,31000,9
1581,김상수,1990-03-23,2018,24000,10
1582,김상수,1990-03-23,2019,24000,11
1583,김상수,1990-03-23,2020,25000,12
1584,정수빈,1990-10-07,2009,,1
1585,정수빈,1990-10-07,2010,4000,2
1586,정수빈,1990-10-07,2011,5200,3
1587,정수빈,1990-10-07,2012,9000,4
1588,정수빈,1990-10-07,2013,10000,5
1589,정수빈,1990-10-07,2014,13700,6
1590,정수빈,1990-10-07,2015,28000,7
1591,정수빈,1990-10-07,2016,28000,8
1592,정수빈,1990-10-07,2018,28000,10
1593,정수빈,1990-10-07,2019,28000,11
1594,정수빈,1990-10-07,2020,34000,12
1595,노진혁,1989-07-15,2013,2400,1
1596,노진혁,1989-07-15,2014,4800,2
1597,노진혁,1989-07-15,2015,4300,3
1598,노진혁,1989-07-15,2017,4300,5
1599,노진혁,1989-07-15,2018,4300,6
1600,노진혁,1989-07-15,2019,4300,7
1601,노진혁,1989-07-15,2020,14000,8
1602,최기문,1973-06-10,1996,,1
1603,최기문,1973-06-10,1997,2300,2
1604,최기문,1973-06-10,1998,2900,3
1605,최기문,1973-06-10,1999,2900,4
1606,최기문,1973-06-10,2000,4500,5
1607,최기문,1973-06-10,2001,6300,6
1608,최기문,1973-06-10,2002,10000,7
1609,최기문,1973-06-10,2003,12000,8
1610,최기문,1973-06-10,2004,14000,9
1611,최기문,1973-06-10,2005,14500,10
1612,최기문,1973-06-10,2007,14500,12
1613,최기문,1973-06-10,2008,10000,13
1614,최기문,1973-06-10,2009,10000,14
1615,마차도,1992-02-22,2020,30000,1
1616,모창민,1985-05-08,2008,,1
1617,모창민,1985-05-08,2009,3500,2
1618,모창민,1985-05-08,2010,4200,3
1619,모창민,1985-05-08,2012,4200,5
1620,모창민,1985-05-08,2013,4200,6
1621,모창민,1985-05-08,2014,8600,7
1622,모창민,1985-05-08,2015,12500,8
1623,모창민,1985-05-08,2016,12500,9
1624,모창민,1985-05-08,2017,11700,10
1625,모창민,1985-05-08,2018,18500,11
1626,모창민,1985-05-08,2019,18500,12
1627,모창민,1985-05-08,2020,30000,13
1628,펠로우,1973-08-28,2005,,1
1629,서동욱,1984-03-21,2003,,1
1630,서동욱,1984-03-21,2004,2500,2
1631,서동욱,1984-03-21,2005,2800,3
1632,서동욱,1984-03-21,2008,2800,6
1633,서동욱,1984-03-21,2009,3100,7
1634,서동욱,1984-03-21,2010,3000,8
1635,서동욱,1984-03-21,2011,3200,9
1636,서동욱,1984-03-21,2012,8500,10
1637,서동욱,1984-03-21,2013,8500,11
1638,서동욱,1984-03-21,2014,9000,12
1639,서동욱,1984-03-21,2015,5800,13
1640,서동욱,1984-03-21,2016,5800,14
1641,서동욱,1984-03-21,2017,15000,15
1642,서동욱,1984-03-21,2018,18500,16
1643,칸투,1982-01-30,2014,900000,1
1644,마르티네스,1970-10-03,2001,,1
1645,마르티네스,1970-10-03,2002,,2
1646,마르티네스,1970-10-03,2003,,3
1647,이대수,1981-08-21,2002,,1
1648,이대수,1981-08-21,2003,1800,2
1649,이대수,1981-08-21,2004,2100,3
1650,이대수,1981-08-21,2005,2900,4
1651,이대수,1981-08-21,2006,4500,5
1652,이대수,1981-08-21,2007,4500,6
1653,이대수,1981-08-21,2008,9500,7
1654,이대수,1981-08-21,2009,8700,8
1655,이대수,1981-08-21,2010,8000,9
1656,이대수,1981-08-21,2011,9000,10
1657,이대수,1981-08-21,2012,14000,11
1658,이대수,1981-08-21,2013,14000,12
1659,이대수,1981-08-21,2014,14000,13
1660,이대수,1981-08-21,2015,35000,14
1661,이대수,1981-08-21,2016,35000,15
1662,이대수,1981-08-21,2017,35000,16
1663,이대수,1981-08-21,2018,900000,17
1664,페레즈,1969-06-04,2003,,1
1665,페레즈,1969-06-04,2004,,2
1666,페레즈,1969-06-04,2007,,5
1667,박세혁,1990-01-09,2012,,1
1668,박세혁,1990-01-09,2013,2500,2
1669,박세혁,1990-01-09,2016,3000,5
1670,박세혁,1990-01-09,2017,6000,6
1671,박세혁,1990-01-09,2018,10000,7
1672,박세혁,1990-01-09,2019,10000,8
1673,박세혁,1990-01-09,2020,23200,9
1674,최동수,1971-09-11,1994,,1
1675,최동수,1971-09-11,1996,,3
1676,최동수,1971-09-11,1997,2000,4
1677,최동수,1971-09-11,1998,3000,5
1678,최동수,1971-09-11,1999,3000,6
1679,최동수,1971-09-11,2000,2800,7
1680,최동수,1971-09-11,2001,3100,8
1681,최동수,1971-09-11,2002,4000,9
1682,최동수,1971-09-11,2003,7300,10
1683,최동수,1971-09-11,2004,7000,11
1684,최동수,1971-09-11,2005,8000,12
1685,최동수,1971-09-11,2006,9000,13
1686,최동수,1971-09-11,2007,7500,14
1687,최동수,1971-09-11,2008,12000,15
1688,최동수,1971-09-11,2009,15000,16
1689,최동수,1971-09-11,2010,15000,17
1690,최동수,1971-09-11,2011,15000,18
1691,최동수,1971-09-11,2012,15000,19
1692,최동수,1971-09-11,2013,15000,20
1693,안치용,1979-02-23,2002,,1
1694,안치용,1979-02-23,2003,2000,2
1695,안치용,1979-02-23,2004,2000,3
1696,안치용,1979-02-23,2005,2700,4
1697,안치용,1979-02-23,2006,2800,5
1698,안치용,1979-02-23,2007,2800,6
1699,안치용,1979-02-23,2008,3000,7
1700,안치용,1979-02-23,2009,6600,8
1701,안치용,1979-02-23,2010,6600,9
1702,안치용,1979-02-23,2011,5500,10
1703,안치용,1979-02-23,2012,8500,11
1704,안치용,1979-02-23,2013,7500,12
1705,이형종,1989-06-07,2010,2400,1
1706,이형종,1989-06-07,2016,2700,7
1707,이형종,1989-06-07,2017,6000,8
1708,이형종,1989-06-07,2018,10500,9
1709,이형종,1989-06-07,2019,10500,10
1710,이형종,1989-06-07,2020,20000,11
1711,정원석,1977-03-27,2000,,1
1712,정원석,1977-03-27,2001,2000,2
1713,정원석,1977-03-27,2004,2400,5
1714,정원석,1977-03-27,2005,3000,6
1715,정원석,1977-03-27,2006,2800,7
1716,정원석,1977-03-27,2007,2900,8
1717,정원석,1977-03-27,2008,3500,9
1718,정원석,1977-03-27,2010,3700,11
1719,정원석,1977-03-27,2011,7000,12
1720,정원석,1977-03-27,2012,5000,13
1721,대니돈,1984-07-20,2016,60000,1
1722,대니돈,1984-07-20,2017,900000,2
1723,피에,1985-02-08,2014,900000,1
1724,노수광,1990-08-06,2014,2400,1
1725,노수광,1990-08-06,2015,3000,2
1726,노수광,1990-08-06,2016,3000,3
1727,노수광,1990-08-06,2017,3000,4
1728,노수광,1990-08-06,2018,13000,5
1729,노수광,1990-08-06,2019,13000,6
1730,노수광,1990-08-06,2020,13000,7
1731,프랭클린,1972-04-25,2002,,1
1732,프랭클린,1972-04-25,2003,,2
1733,윤석민,1985-09-04,2004,,1
1734,윤석민,1985-09-04,2005,2000,2
1735,윤석민,1985-09-04,2006,2000,3
1736,윤석민,1985-09-04,2007,2000,4
1737,윤석민,1985-09-04,2011,2400,8
1738,윤석민,1985-09-04,2012,4100,9
1739,윤석민,1985-09-04,2013,7700,10
1740,윤석민,1985-09-04,2014,7700,11
1741,윤석민,1985-09-04,2015,16000,12
1742,윤석민,1985-09-04,2016,16000,13
1743,윤석민,1985-09-04,2017,16000,14
1744,윤석민,1985-09-04,2018,31000,15
1745,윤석민,1985-09-04,2019,31000,16
1746,윤석민,1985-09-04,2020,18000,17
1747,송광민,1983-06-24,2006,,1
1748,송광민,1983-06-24,2007,2400,2
1749,송광민,1983-06-24,2008,2900,3
1750,송광민,1983-06-24,2009,4000,4
1751,송광민,1983-06-24,2010,6000,5
1752,송광민,1983-06-24,2013,6000,8
1753,송광민,1983-06-24,2014,7000,9
1754,송광민,1983-06-24,2015,10000,10
1755,송광민,1983-06-24,2016,10000,11
1756,송광민,1983-06-24,2017,20000,12
1757,송광민,1983-06-24,2018,24000,13
1758,송광민,1983-06-24,2019,24000,14
1759,송광민,1983-06-24,2020,25000,15
1760,박동원,1990-04-07,2010,,1
1761,박동원,1990-04-07,2013,2400,4
1762,박동원,1990-04-07,2014,3400,5
1763,박동원,1990-04-07,2015,14000,6
1764,박동원,1990-04-07,2016,14000,7
1765,박동원,1990-04-07,2017,20000,8
1766,박동원,1990-04-07,2018,18000,9
1767,박동원,1990-04-07,2019,18000,10
1768,박동원,1990-04-07,2020,18000,11
1769,김민우,1979-03-21,2002,,1
1770,김민우,1979-03-21,2003,2000,2
1771,김민우,1979-03-21,2004,2300,3
1772,김민우,1979-03-21,2008,2200,7
1773,김민우,1979-03-21,2009,2400,8
1774,김민우,1979-03-21,2010,2400,9
1775,김민우,1979-03-21,2011,8000,10
1776,김민우,1979-03-21,2012,9500,11
1777,김민우,1979-03-21,2013,8800,12
1778,김민우,1979-03-21,2014,8300,13
1779,김민우,1979-03-21,2015,12000,14
1780,김민우,1979-03-21,2016,900000,15
1781,이숭용,1971-03-10,1994,,1
1782,이숭용,1971-03-10,1995,,2
1783,이숭용,1971-03-10,1996,,3
1784,이숭용,1971-03-10,1997,6300,4
1785,이숭용,1971-03-10,1998,7600,5
1786,이숭용,1971-03-10,1999,8500,6
1787,이숭용,1971-03-10,2000,8200,7
1788,이숭용,1971-03-10,2001,10500,8
1789,이숭용,1971-03-10,2002,16000,9
1790,이숭용,1971-03-10,2003,22000,10
1791,이숭용,1971-03-10,2004,25000,11
1792,이숭용,1971-03-10,2005,25000,12
1793,이숭용,1971-03-10,2006,25000,13
1794,이숭용,1971-03-10,2007,35000,14
1795,이숭용,1971-03-10,2008,17000,15
1796,이숭용,1971-03-10,2009,17000,16
1797,이숭용,1971-03-10,2010,17000,17
1798,이숭용,1971-03-10,2011,17000,18
1799,정경배,1974-02-20,1996,,1
1800,정경배,1974-02-20,1997,2800,2
1801,정경배,1974-02-20,1998,4000,3
1802,정경배,1974-02-20,1999,5000,4
1803,정경배,1974-02-20,2000,8500,5
1804,정경배,1974-02-20,2001,8000,6
1805,정경배,1974-02-20,2002,9500,7
1806,정경배,1974-02-20,2003,8800,8
1807,정경배,1974-02-20,2004,12000,9
1808,정경배,1974-02-20,2005,13000,10
1809,정경배,1974-02-20,2006,25000,11
1810,정경배,1974-02-20,2007,25000,12
1811,정경배,1974-02-20,2008,25000,13
1812,정경배,1974-02-20,2009,10000,14
1813,이성열,1984-07-13,2004,2000,1
1814,이성열,1984-07-13,2005,2000,2
1815,이성열,1984-07-13,2006,3200,3
1816,이성열,1984-07-13,2007,3000,4
1817,이성열,1984-07-13,2008,3000,5
1818,이성열,1984-07-13,2009,4200,6
1819,이성열,1984-07-13,2010,3600,7
1820,이성열,1984-07-13,2011,8500,8
1821,이성열,1984-07-13,2012,8500,9
1822,이성열,1984-07-13,2013,7200,10
1823,이성열,1984-07-13,2014,11000,11
1824,이성열,1984-07-13,2015,11000,12
1825,이성열,1984-07-13,2016,25000,13
1826,이성열,1984-07-13,2017,23000,14
1827,이성열,1984-07-13,2018,25000,15
1828,이성열,1984-07-13,2019,25000,16
1829,이성열,1984-07-13,2020,50000,17
1830,이재주,1973-12-25,1992,,1
1831,이재주,1973-12-25,1993,,2
1832,이재주,1973-12-25,1994,,3
1833,이재주,1973-12-25,1995,,4
1834,이재주,1973-12-25,1997,2200,6
1835,이재주,1973-12-25,1998,2600,7
1836,이재주,1973-12-25,1999,3200,8
1837,이재주,1973-12-25,2000,3000,9
1838,이재주,1973-12-25,2001,4000,10
1839,이재주,1973-12-25,2002,4000,11
1840,이재주,1973-12-25,2003,3600,12
1841,이재주,1973-12-25,2004,6500,13
1842,이재주,1973-12-25,2005,5800,14
1843,이재주,1973-12-25,2006,5800,15
1844,이재주,1973-12-25,2007,10000,16
1845,이재주,1973-12-25,2008,8000,17
1846,이재주,1973-12-25,2009,12000,18
1847,퀸란,1968-03-27,2000,,1
1848,퀸란,1968-03-27,2001,,2
1849,퀸란,1968-03-27,2002,,3
1850,신종길,1983-12-31,2003,1900,1
1851,신종길,1983-12-31,2004,2300,2
1852,신종길,1983-12-31,2009,2400,7
1853,신종길,1983-12-31,2010,2700,8
1854,신종길,1983-12-31,2011,4000,9
1855,신종길,1983-12-31,2012,6000,10
1856,신종길,1983-12-31,2013,4500,11
1857,신종길,1983-12-31,2014,10000,12
1858,신종길,1983-12-31,2015,12000,13
1859,신종길,1983-12-31,2016,12000,14
1860,신종길,1983-12-31,2017,9800,15
1861,김혜성,1999-01-27,2017,2700,1
1862,김혜성,1999-01-27,2018,2900,2
1863,김혜성,1999-01-27,2019,2900,3
1864,김혜성,1999-01-27,2020,2900,4
1865,김경언,1982-12-07,2001,,1
1866,김경언,1982-12-07,2002,2500,2
1867,김경언,1982-12-07,2003,4300,3
1868,김경언,1982-12-07,2004,6500,4
1869,김경언,1982-12-07,2005,5000,5
1870,김경언,1982-12-07,2006,5500,6
1871,김경언,1982-12-07,2008,3800,8
1872,김경언,1982-12-07,2009,3300,9
1873,김경언,1982-12-07,2010,3300,10
1874,김경언,1982-12-07,2011,3500,11
1875,김경언,1982-12-07,2012,4000,12
1876,김경언,1982-12-07,2013,5000,13
1877,김경언,1982-12-07,2014,5800,14
1878,김경언,1982-12-07,2015,20000,15
1879,김경언,1982-12-07,2016,20000,16
1880,김경언,1982-12-07,2017,900000,17
1881,이동수,1973-03-24,1994,,1
1882,이동수,1973-03-24,1995,,2
1883,이동수,1973-03-24,1996,,3
1884,이동수,1973-03-24,1997,,4
1885,이동수,1973-03-24,1998,,5
1886,이동수,1973-03-24,1999,4500,6
1887,이동수,1973-03-24,2000,6500,7
1888,이동수,1973-03-24,2001,6500,8
1889,이동수,1973-03-24,2002,7000,9
1890,이동수,1973-03-24,2003,7000,10
1891,김종호,1984-05-31,2011,2800,1
1892,김종호,1984-05-31,2012,2800,2
1893,김종호,1984-05-31,2013,3000,3
1894,김종호,1984-05-31,2014,9000,4
1895,김종호,1984-05-31,2015,17500,5
1896,김종호,1984-05-31,2016,17500,6
1897,김종호,1984-05-31,2017,900000,7
1898,김종석,1971-02-28,1989,,1
1899,김종석,1971-02-28,1990,,2
1900,김종석,1971-02-28,1991,,3
1901,김종석,1971-02-28,1992,,4
1902,김종석,1971-02-28,1993,,5
1903,김종석,1971-02-28,1994,,6
1904,김종석,1971-02-28,1995,,7
1905,김종석,1971-02-28,1996,,8
1906,김종석,1971-02-28,1997,6200,9
